id,category_id,gender,min_age,max_age
1596,411,female,65,
1598,411,female,55,64
1600,69,female,25,34
1642,69,female,0,1
1603,69,female,45,54
1604,410,female,11,17
1606,408,female,25,34
1608,411,female,65,
1611,69,female,25,34
1612,411,female,55,64
1614,411,female,55,64
1617,69,female,18,24
1620,410,female,5,10
1622,411,female,55,64
1623,69,female,18,24
1624,410,female,25,34
1625,410,female,18,24
1627,410,female,18,24
1628,408,female,25,34
1629,411,female,55,64
1631,408,female,45,54
1633,69,female,25,34
1634,69,female,25,34
1635,63,female,25,34
1640,412,female,35,44
1646,69,female,65,
1649,408,female,25,34
1653,408,female,25,34
1654,411,female,45,54
1657,409,female,25,34
1659,409,female,35,44
1662,63,female,35,44
1663,408,female,25,34
1664,408,female,25,34
1665,408,female,25,34
1666,83,female,45,54
1667,69,female,45,54
1669,410,female,11,17
1670,83,female,55,64
1671,410,female,25,34
1672,411,female,55,64
1673,69,female,1,4
1722,411,female,65,
1679,69,female,25,34
1680,408,female,25,34
1681,411,female,65,
1686,69,female,35,44
1689,69,female,35,44
1690,411,female,55,64
1692,410,female,11,17
1693,408,female,18,24
1696,409,female,25,34
1697,83,female,65,
1698,409,female,35,44
1700,409,female,25,34
1701,409,female,35,44
1703,409,female,25,34
1705,410,female,18,24
1708,410,female,11,17
1711,409,female,25,34
1712,408,female,55,64
1713,411,female,45,54
1717,410,female,25,34
1729,411,female,55,64
1730,411,female,55,64
1733,411,female,55,64
1736,408,female,45,54
1737,69,female,35,44
1738,69,female,25,34
1739,411,female,65,
1741,408,female,25,34
1750,69,female,25,34
1756,411,female,65,
1743,408,female,18,24
1748,408,female,18,24
1745,69,female,35,44
1752,409,female,25,34
1753,409,female,25,34
1754,409,female,25,34
1758,69,female,45,54
1759,408,female,45,54
1761,83,female,45,54
1762,83,female,45,54
1770,69,female,25,34
1776,411,female,55,64
1781,408,female,18,24
1782,408,female,18,24
1783,408,female,25,34
1788,409,female,25,34
1797,411,female,55,64
1798,409,female,25,34
1799,411,female,55,64
1805,409,female,25,34
1807,411,female,45,54
1808,69,female,35,44
1809,409,female,25,34
1810,409,female,35,44
1811,409,female,25,34
1813,408,female,25,34
1815,408,female,25,34
1816,83,female,45,54
1828,408,female,35,44
1819,63,female,35,44
1822,411,female,65,
1823,408,female,18,24
1830,83,female,35,44
1825,408,female,25,34
1827,408,female,25,34
1832,83,female,35,44
1833,408,female,25,34
1834,63,female,18,24
1835,63,female,25,34
1837,63,female,18,24
1839,408,female,25,34
1840,408,female,35,44
1841,408,female,35,44
1842,408,female,35,44
1844,409,female,25,34
1845,408,female,45,54
1846,69,female,18,24
1854,408,female,25,34
1858,411,female,45,54
1860,409,female,25,34
1861,409,female,35,44
1862,409,female,35,44
1863,409,female,35,44
1864,69,female,45,54
1865,69,female,45,54
1866,63,female,18,24
1867,63,female,25,34
1868,63,female,25,34
1873,410,female,5,10
1874,410,female,11,17
1875,409,female,25,34
1876,409,female,25,34
1877,409,female,18,24
1882,83,female,18,24
1883,69,female,45,54
1885,408,female,35,44
1887,69,female,18,24
1888,69,female,35,44
1890,408,female,25,34
1898,411,female,45,54
1899,69,female,45,54
1901,409,female,11,17
1902,411,female,65,
1904,410,female,11,17
1908,410,female,11,17
1909,408,female,25,34
1910,411,female,55,64
1916,408,female,55,64
1920,69,female,18,24
1922,410,female,25,34
1923,410,female,11,17
1926,63,female,45,54
1927,69,female,45,54
1932,409,female,55,64
1933,69,female,25,34
1934,410,female,1,4
1937,69,female,55,64
1938,69,female,55,64
1955,69,female,45,54
1962,409,female,25,34
1953,409,female,25,34
1959,411,female,55,64
1960,411,female,55,64
1945,63,female,45,54
1948,408,female,45,54
1943,411,female,65,
1946,83,female,18,24
1949,83,female,65,
1958,408,female,25,34
1966,69,female,25,34
1969,409,female,45,54
1972,408,female,25,34
1973,409,female,18,24
1974,408,female,25,34
1975,409,female,45,54
1983,69,female,25,34
1984,408,female,25,34
2027,409,female,25,34
1986,408,female,25,34
1994,409,female,18,24
1997,69,female,25,34
1998,410,female,25,34
2004,409,female,35,44
2029,411,female,55,64
2030,408,female,25,34
2011,69,female,35,44
2015,69,female,45,54
2018,408,female,45,54
2019,410,female,5,10
2020,411,female,55,64
2021,410,female,5,10
2023,410,female,11,17
2024,69,female,65,
2025,69,female,25,34
2031,408,female,25,34
2035,409,female,45,54
2036,409,female,35,44
2037,409,female,35,44
2040,408,female,25,34
2041,83,female,1,4
2042,408,female,55,64
2045,69,female,35,44
2046,69,female,18,24
2047,410,female,11,17
2048,408,female,25,34
2055,409,female,35,44
2056,411,female,55,64
2064,408,female,35,44
2063,411,female,65,
2069,408,female,25,34
