Retailer,Product Name,Date and time,Indirect Sales
Amazon,GOER 3.2 ft x 9.8 ft Metallic Tinsel Foil Fringe Curtains for Party Photo Backdrop Wedding Decor (Gold1 pack),12/28/17 16:00,ndi
Amazon,"Ezy Dose 7-Day Classic Pill Reminder - Small 4.5"" x 0.75"" x 0.5"" Colors Vary",6/21/16 20:15,ndi
Amazon,Burt's Bees Mama Bee Belly Butter 6.5 Ounce Tub,7/26/16 12:22,ndi
Amazon,Mrs. Meyer's Dish Soap Lavender 16 Fluid Ounce (Pack of 3),11/18/16 16:44,ndi
Amazon,Mrs. Meyer's Clean Day Multi-Surface Everyday Cleaner Lavender 16 Fluid Ounce (Pack of 3),11/18/16 16:44,ndi
Amazon,Enfamil Tri-Vi-Sol Vitamins A C & D Supplement Drops for Infants 50 mL,11/22/16 17:40,ndi
Amazon,My Heating Pad- Hot Therapy Pack – Natural Heat Therapy - Stress Relief (Blue),5/29/17 17:48,ndi
Amazon,Epsom Salt 2Lb (907g),5/31/17 10:30,ndi
Amazon,Mother’s Select Organic Goat’s Rue – Herbal Support Aid for Lactation & Nursing - Increase Breast Milk Supply - Safe Gluten Free Dairy and Soy Free -,6/27/17 9:21,ndi
Amazon,Burt's Bees Baby Shampoo & Wash Calming 12 Ounces (Pack of 3),10/31/17 16:51,ndi
Amazon,Beesworks Yellow Beeswax Pellets - 2 lb,11/3/17 19:05,ndi
Amazon,"White Oval Waterproof Essential Oil Labels for Bottles & Jars – 2.5"" x 1.5"" Oval 5 Sheets 90 Labels",11/4/17 23:19,ndi
Amazon,Pampers Cruisers Disposable Diapers Size 3 180 Count (One Month Supply),11/8/17 19:22,ndi
Amazon,Hurraw! Lip Balms: Black Cherry Tinted (2 Pack),11/26/17 10:57,ndi
Amazon,Hurraw! Lip Balms: Black Cherry Tinted (2 Pack),11/26/17 10:58,ndi
Amazon,Aveeno Baby Eczema Therapy Soothing Baby Bath Treatment 5 Count-3.75oz (Pack of 2),11/26/17 15:25,ndi
